Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
841,"(102, 2014, 67.0, 210.6)","(25, 2014, 137.1, 258.7)","(8, 2016, 137.4, 366.2)","(0, 2013, 97.9, 244.9)","(8, 2012, 71.2, 279.0)","(4, 2017, 106.7, 311.1)","(102, -1, 62.5, 184.9)","(25, -1, 114.1, 233.8)","(8, -1, 153.7, 336.2)","(0, -1, 98.0, 264.5)","(8, -1, 77.8, 308.8)","(4, -1, 105.1, 315.1)"
842,"(0, 2014, 52.0, 324.2)","(58, 2016, 133.4, 386.4)","(19, 2014, 125.8, 290.1)","(19, 2012, 110.7, 398.6)","(58, 2015, 72.6, 234.3)","(58, 2015, 128.1, 294.7)","(0, -1, 47.8, 312.8)","(58, -1, 128.2, 397.0)","(19, -1, 133.9, 328.8)","(19, -1, 113.0, 370.1)","(58, -1, 73.7, 252.5)","(58, -1, 101.6, 242.0)"
843,"(40, 2017, 96.9, 283.9)","(19, 2017, 90.1, 270.9)","(25, 2015, 114.3, 321.8)","(0, 2017, 81.5, 282.6)","(104, 2014, 100.6, 281.2)","(0, 2014, 95.6, 388.0)","(40, -1, 79.7, 275.6)","(19, -1, 81.9, 259.0)","(25, -1, 118.0, 316.6)","(0, -1, 81.8, 311.1)","(104, -1, 91.4, 294.0)","(0, -1, 86.6, 369.7)"
844,"(4, 2016, 84.8, 389.1)","(25, 2013, 41.3, 211.9)","(0, 2012, 77.5, 244.2)","(25, 2015, 125.0, 344.0)","(25, 2013, 84.6, 251.9)","(8, 2012, 180.4, 305.8)","(4, -1, 92.1, 399.1)","(25, -1, 41.4, 234.1)","(0, -1, 79.9, 237.1)","(25, -1, 131.0, 330.6)","(25, -1, 104.6, 236.1)","(8, -1, 202.5, 348.9)"
845,"(104, 2015, 142.5, 254.7)","(8, 2015, 95.4, 276.7)","(4, 2017, 109.6, 274.7)","(40, 2017, 172.0, 301.6)","(102, 2013, 91.6, 262.7)","(40, 2017, 90.7, 317.6)","(104, -1, 143.5, 264.2)","(8, -1, 94.7, 295.8)","(4, -1, 111.1, 305.0)","(40, -1, 151.1, 271.5)","(102, -1, 100.2, 225.8)","(40, -1, 91.7, 302.0)"
846,"(25, 2012, 97.2, 334.7)","(58, 2016, 104.5, 317.1)","(40, 2017, 85.6, 396.0)","(19, 2015, 86.6, 243.0)","(104, 2013, 135.9, 271.9)","(102, 2013, 101.0, 268.8)","(25, -1, 99.3, 323.6)","(58, -1, 114.1, 324.6)","(40, -1, 77.7, 389.0)","(19, -1, 74.8, 221.9)","(104, -1, 124.8, 257.0)","(102, -1, 103.6, 252.5)"
847,"(0, 2017, 84.5, 365.7)","(40, 2016, 110.0, 254.5)","(104, 2016, 108.8, 266.9)","(58, 2013, 84.9, 343.8)","(58, 2013, 85.9, 237.6)","(40, 2017, 102.3, 277.5)","(0, -1, 93.0, 371.1)","(40, -1, 119.3, 290.6)","(104, -1, 121.8, 268.9)","(58, -1, 80.2, 371.4)","(58, -1, 95.2, 217.8)","(40, -1, 105.6, 259.8)"
848,"(102, 2014, 103.9, 373.2)","(4, 2012, 138.6, 317.1)","(0, 2016, 75.8, 329.8)","(0, 2016, 85.5, 247.2)","(8, 2016, 108.9, 201.1)","(40, 2013, 111.3, 204.4)","(102, -1, 118.5, 401.3)","(4, -1, 128.6, 272.6)","(0, -1, 77.4, 341.9)","(0, -1, 86.9, 223.1)","(8, -1, 103.6, 189.7)","(40, -1, 113.5, 185.9)"
849,"(104, 2017, 52.3, 253.7)","(0, 2015, 106.2, 391.5)","(58, 2012, 78.3, 285.6)","(19, 2017, 120.1, 260.8)","(102, 2013, 79.6, 248.7)","(40, 2012, 93.8, 398.5)","(104, -1, 55.8, 228.9)","(0, -1, 107.6, 459.0)","(58, -1, 85.7, 277.4)","(19, -1, 120.7, 252.8)","(102, -1, 78.8, 239.2)","(40, -1, 107.1, 429.1)"
850,"(0, 2017, 103.9, 244.5)","(19, 2013, 107.4, 227.8)","(102, 2016, 95.1, 304.5)","(25, 2015, 91.0, 264.3)","(58, 2014, 76.2, 329.6)","(104, 2013, 84.3, 254.4)","(0, -1, 105.5, 244.1)","(19, -1, 89.4, 215.8)","(102, -1, 114.2, 289.1)","(25, -1, 92.3, 253.7)","(58, -1, 72.9, 340.5)","(104, -1, 101.1, 250.1)"
851,"(8, 2013, 65.6, 348.6)","(4, 2016, 138.5, 317.5)","(8, 2014, 102.4, 341.2)","(104, 2016, 60.9, 352.7)","(19, 2013, 115.4, 235.6)","(58, 2016, 60.6, 273.6)","(8, -1, 65.8, 390.1)","(4, -1, 124.9, 326.4)","(8, -1, 93.7, 319.9)","(104, -1, 66.8, 343.7)","(19, -1, 104.9, 243.3)","(58, -1, 69.9, 282.1)"
852,"(4, 2017, 77.7, 239.9)","(102, 2012, 99.0, 327.8)","(19, 2012, 74.7, 387.7)","(0, 2012, 93.3, 232.4)","(40, 2014, 111.9, 276.9)","(104, 2017, 53.7, 303.1)","(4, -1, 87.0, 249.0)","(102, -1, 107.7, 296.3)","(19, -1, 72.8, 378.7)","(0, -1, 89.6, 236.1)","(40, -1, 93.8, 256.4)","(104, -1, 57.5, 316.4)"
853,"(102, 2012, 138.3, 330.9)","(40, 2015, 117.0, 233.2)","(58, 2014, 83.7, 309.9)","(104, 2016, 150.2, 232.1)","(19, 2016, 72.6, 252.5)","(58, 2017, 126.3, 269.5)","(102, -1, 139.8, 319.9)","(40, -1, 108.0, 202.8)","(58, -1, 84.9, 346.2)","(104, -1, 131.3, 252.1)","(19, -1, 64.2, 253.3)","(58, -1, 115.3, 286.0)"
854,"(0, 2015, 91.9, 328.0)","(40, 2012, 148.1, 255.8)","(4, 2016, 108.2, 348.4)","(19, 2016, 95.1, 397.7)","(0, 2016, 96.0, 258.7)","(19, 2014, 97.5, 267.6)","(0, -1, 90.1, 369.8)","(40, -1, 142.1, 235.8)","(4, -1, 94.1, 337.5)","(19, -1, 94.0, 408.5)","(0, -1, 80.7, 228.4)","(19, -1, 86.4, 260.1)"
855,"(8, 2016, 96.6, 283.5)","(4, 2015, 91.7, 375.7)","(4, 2017, 89.5, 254.5)","(4, 2014, 84.3, 285.9)","(102, 2014, 99.8, 228.8)","(104, 2016, 106.2, 273.0)","(8, -1, 97.8, 287.8)","(4, -1, 94.5, 393.4)","(4, -1, 89.8, 271.3)","(4, -1, 63.9, 297.4)","(102, -1, 133.0, 231.4)","(104, -1, 118.8, 257.0)"
856,"(25, 2017, 115.6, 361.6)","(8, 2013, 105.1, 313.5)","(19, 2015, 98.8, 307.0)","(104, 2015, 89.1, 368.7)","(102, 2015, 104.7, 218.6)","(4, 2014, 103.8, 345.2)","(25, -1, 138.1, 369.7)","(8, -1, 108.2, 330.7)","(19, -1, 115.3, 290.7)","(104, -1, 86.2, 369.7)","(102, -1, 120.3, 224.8)","(4, -1, 97.4, 330.7)"
857,"(104, 2014, 90.3, 207.2)","(58, 2014, 125.5, 378.8)","(104, 2014, 117.1, 241.0)","(0, 2014, 82.6, 319.2)","(19, 2013, 80.8, 222.5)","(4, 2015, 85.6, 309.7)","(104, -1, 98.6, 207.7)","(58, -1, 103.5, 400.5)","(104, -1, 122.8, 219.9)","(0, -1, 93.2, 309.1)","(19, -1, 85.1, 215.5)","(4, -1, 93.2, 269.3)"
858,"(4, 2015, 100.3, 239.2)","(4, 2016, 79.0, 361.3)","(8, 2015, 94.6, 261.5)","(8, 2017, 111.1, 257.1)","(25, 2017, 93.3, 276.1)","(8, 2017, 104.4, 244.7)","(4, -1, 95.9, 261.8)","(4, -1, 78.9, 321.2)","(8, -1, 109.2, 265.6)","(8, -1, 114.2, 244.0)","(25, -1, 99.2, 317.7)","(8, -1, 91.1, 249.3)"
859,"(102, 2013, 87.0, 319.0)","(25, 2014, 77.5, 375.2)","(0, 2013, 107.9, 347.1)","(102, 2017, 56.1, 356.7)","(102, 2014, 161.0, 330.9)","(25, 2016, 74.7, 260.3)","(102, -1, 85.5, 282.4)","(25, -1, 67.0, 366.6)","(0, -1, 112.5, 312.8)","(102, -1, 67.0, 409.0)","(102, -1, 177.0, 347.9)","(25, -1, 62.5, 264.3)"
860,"(4, 2014, 80.7, 391.1)","(58, 2012, 92.3, 296.6)","(104, 2012, 83.1, 357.8)","(0, 2014, 83.6, 243.2)","(25, 2012, 107.6, 287.8)","(40, 2017, 96.1, 304.1)","(4, -1, 77.1, 394.7)","(58, -1, 91.9, 296.5)","(104, -1, 69.2, 370.9)","(0, -1, 94.6, 203.2)","(25, -1, 98.8, 297.6)","(40, -1, 88.3, 272.7)"
861,"(104, 2015, 88.2, 308.9)","(58, 2015, 62.2, 386.9)","(0, 2013, 75.8, 350.3)","(0, 2015, 102.9, 345.3)","(102, 2016, 103.3, 320.4)","(4, 2016, 64.5, 233.9)","(104, -1, 78.7, 292.4)","(58, -1, 60.1, 403.8)","(0, -1, 79.6, 339.1)","(0, -1, 98.1, 325.3)","(102, -1, 95.7, 318.9)","(4, -1, 65.0, 197.5)"
862,"(0, 2017, 94.7, 224.5)","(40, 2013, 37.9, 239.2)","(104, 2012, 109.6, 274.0)","(4, 2016, 88.9, 387.1)","(25, 2015, 125.7, 364.3)","(4, 2015, 110.6, 221.8)","(0, -1, 79.5, 232.7)","(40, -1, 38.0, 253.0)","(104, -1, 109.5, 228.5)","(4, -1, 96.4, 383.5)","(25, -1, 111.4, 344.0)","(4, -1, 114.6, 241.2)"
863,"(104, 2014, 128.7, 369.7)","(0, 2013, 89.9, 281.9)","(8, 2012, 98.2, 328.6)","(104, 2017, 78.8, 235.3)","(25, 2014, 121.9, 232.8)","(0, 2017, 102.8, 365.8)","(104, -1, 123.0, 390.5)","(0, -1, 97.4, 277.8)","(8, -1, 110.0, 312.7)","(104, -1, 83.1, 227.7)","(25, -1, 123.0, 220.2)","(0, -1, 108.6, 338.1)"
864,"(102, 2017, 95.6, 289.9)","(102, 2015, 130.2, 355.5)","(19, 2013, 53.6, 353.6)","(58, 2013, 125.5, 389.1)","(4, 2016, 79.5, 383.1)","(104, 2015, 101.6, 330.2)","(102, -1, 81.1, 278.7)","(102, -1, 123.2, 343.0)","(19, -1, 50.4, 369.7)","(58, -1, 119.0, 397.7)","(4, -1, 87.5, 405.5)","(104, -1, 104.8, 360.4)"
865,"(25, 2017, 53.5, 322.7)","(40, 2015, 103.9, 370.3)","(19, 2014, 81.0, 346.0)","(4, 2015, 70.7, 286.8)","(104, 2015, 135.1, 253.6)","(40, 2012, 65.6, 270.6)","(25, -1, 48.7, 304.9)","(40, -1, 98.3, 354.3)","(19, -1, 88.8, 346.1)","(4, -1, 66.6, 276.6)","(104, -1, 120.9, 230.2)","(40, -1, 73.2, 313.4)"
866,"(102, 2013, 89.4, 259.4)","(25, 2012, 111.1, 285.6)","(19, 2017, 112.0, 397.2)","(102, 2015, 66.4, 381.7)","(25, 2017, 90.5, 258.2)","(25, 2014, 143.0, 242.6)","(102, -1, 106.1, 266.3)","(25, -1, 116.1, 264.4)","(19, -1, 109.3, 409.8)","(102, -1, 76.9, 370.6)","(25, -1, 88.4, 243.9)","(25, -1, 137.7, 254.0)"
867,"(0, 2016, 88.5, 207.9)","(102, 2012, 146.1, 395.6)","(40, 2017, 107.6, 316.5)","(19, 2012, 112.9, 393.2)","(4, 2014, 43.4, 289.9)","(8, 2015, 89.2, 228.5)","(0, -1, 88.5, 226.5)","(102, -1, 138.8, 413.1)","(40, -1, 107.9, 338.8)","(19, -1, 112.9, 344.6)","(4, -1, 47.0, 310.2)","(8, -1, 89.1, 227.1)"
868,"(102, 2016, 132.2, 398.5)","(0, 2012, 89.3, 225.4)","(25, 2014, 80.0, 214.5)","(40, 2012, 89.1, 226.9)","(25, 2015, 113.0, 348.5)","(8, 2015, 76.0, 226.5)","(102, -1, 138.7, 376.6)","(0, -1, 82.8, 232.4)","(25, -1, 89.3, 204.6)","(40, -1, 89.8, 216.9)","(25, -1, 114.1, 341.2)","(8, -1, 70.5, 224.0)"
869,"(8, 2017, 87.2, 314.2)","(8, 2012, 76.4, 248.5)","(4, 2016, 72.0, 275.7)","(102, 2017, 140.3, 270.3)","(4, 2015, 68.1, 292.9)","(102, 2013, 117.7, 256.3)","(8, -1, 94.4, 284.1)","(8, -1, 63.7, 246.2)","(4, -1, 76.6, 302.1)","(102, -1, 142.2, 256.9)","(4, -1, 72.9, 307.5)","(102, -1, 118.4, 266.5)"
870,"(102, 2016, 103.0, 374.1)","(19, 2015, 130.0, 396.3)","(4, 2016, 115.9, 303.3)","(102, 2013, 98.2, 297.4)","(102, 2017, 124.4, 319.1)","(102, 2012, 89.6, 218.7)","(102, -1, 115.0, 361.3)","(19, -1, 138.2, 381.4)","(4, -1, 115.1, 344.8)","(102, -1, 85.6, 312.8)","(102, -1, 117.1, 326.3)","(102, -1, 97.3, 221.7)"
871,"(104, 2013, 100.0, 261.4)","(19, 2016, 80.9, 350.8)","(0, 2017, 86.6, 318.8)","(102, 2017, 111.0, 366.4)","(40, 2014, 66.9, 267.6)","(40, 2017, 136.1, 266.3)","(104, -1, 103.7, 266.3)","(19, -1, 74.4, 317.9)","(0, -1, 97.9, 317.7)","(102, -1, 101.2, 363.1)","(40, -1, 66.8, 278.2)","(40, -1, 128.4, 235.5)"
872,"(40, 2017, 110.2, 292.7)","(40, 2014, 139.1, 257.6)","(8, 2016, 100.4, 255.9)","(0, 2017, 88.7, 280.2)","(25, 2014, 126.9, 293.7)","(104, 2015, 130.1, 327.0)","(40, -1, 114.5, 283.9)","(40, -1, 136.6, 256.3)","(8, -1, 98.8, 254.3)","(0, -1, 81.3, 250.4)","(25, -1, 130.7, 263.6)","(104, -1, 142.1, 324.8)"
873,"(58, 2016, 78.2, 273.5)","(4, 2015, 105.1, 346.2)","(40, 2016, 106.2, 353.3)","(58, 2013, 95.6, 382.4)","(102, 2016, 71.2, 345.2)","(25, 2016, 69.0, 235.6)","(58, -1, 89.7, 308.8)","(4, -1, 112.2, 335.8)","(40, -1, 112.1, 354.5)","(58, -1, 94.5, 402.3)","(102, -1, 83.5, 344.8)","(25, -1, 65.4, 230.7)"
874,"(102, 2012, 160.3, 218.1)","(58, 2014, 129.4, 210.2)","(104, 2014, 139.9, 252.1)","(0, 2013, 58.6, 267.4)","(19, 2013, 41.7, 270.1)","(58, 2013, 133.5, 201.5)","(102, -1, 149.5, 223.1)","(58, -1, 132.4, 206.3)","(104, -1, 132.8, 245.8)","(0, -1, 57.7, 272.9)","(19, -1, 46.7, 244.5)","(58, -1, 139.3, 198.0)"
875,"(104, 2012, 74.4, 233.9)","(40, 2013, 124.6, 210.5)","(25, 2016, 116.0, 397.2)","(104, 2017, 116.7, 273.6)","(40, 2014, 97.4, 338.7)","(0, 2015, 125.7, 317.8)","(104, -1, 86.8, 234.2)","(40, -1, 129.3, 197.4)","(25, -1, 123.0, 429.9)","(104, -1, 112.4, 278.6)","(40, -1, 103.3, 376.9)","(0, -1, 102.0, 283.7)"
876,"(4, 2016, 106.7, 354.7)","(8, 2016, 86.6, 363.1)","(102, 2012, 89.3, 279.0)","(102, 2012, 69.8, 293.9)","(25, 2012, 95.1, 201.8)","(40, 2014, 112.8, 332.0)","(4, -1, 117.8, 370.2)","(8, -1, 81.0, 377.4)","(102, -1, 93.8, 316.3)","(102, -1, 75.6, 301.8)","(25, -1, 97.4, 183.0)","(40, -1, 114.9, 317.2)"
877,"(8, 2017, 127.5, 244.7)","(8, 2017, 91.7, 274.3)","(25, 2013, 88.5, 306.0)","(0, 2017, 79.3, 288.0)","(40, 2014, 93.4, 319.5)","(104, 2014, 82.0, 391.9)","(8, -1, 107.4, 277.3)","(8, -1, 98.7, 255.4)","(25, -1, 103.3, 342.0)","(0, -1, 76.3, 325.8)","(40, -1, 92.5, 362.2)","(104, -1, 85.3, 370.5)"
878,"(40, 2014, 99.9, 350.2)","(4, 2014, 93.0, 375.9)","(104, 2015, 145.8, 314.4)","(104, 2013, 93.3, 385.2)","(25, 2014, 139.8, 353.1)","(0, 2017, 84.9, 329.6)","(40, -1, 116.4, 361.7)","(4, -1, 92.8, 340.9)","(104, -1, 165.4, 314.7)","(104, -1, 92.8, 385.4)","(25, -1, 149.6, 311.2)","(0, -1, 75.2, 340.8)"
879,"(40, 2014, 95.3, 242.3)","(102, 2014, 93.8, 252.8)","(4, 2014, 95.8, 252.9)","(58, 2017, 69.6, 249.5)","(104, 2013, 88.8, 240.7)","(104, 2017, 109.5, 345.8)","(40, -1, 76.4, 221.1)","(102, -1, 101.2, 257.1)","(4, -1, 96.8, 243.3)","(58, -1, 66.0, 240.8)","(104, -1, 83.3, 242.4)","(104, -1, 108.0, 409.4)"
880,"(102, 2017, 107.7, 302.2)","(40, 2015, 109.2, 260.4)","(104, 2017, 87.2, 343.1)","(4, 2016, 71.8, 339.5)","(58, 2016, 111.3, 328.6)","(0, 2013, 42.0, 349.4)","(102, -1, 98.5, 316.5)","(40, -1, 90.7, 292.7)","(104, -1, 87.5, 350.8)","(4, -1, 79.2, 347.4)","(58, -1, 95.8, 312.2)","(0, -1, 48.1, 308.7)"
881,"(40, 2012, 131.9, 241.8)","(40, 2012, 100.2, 330.5)","(19, 2012, 122.4, 302.8)","(25, 2015, 95.7, 390.4)","(58, 2015, 79.1, 260.0)","(40, 2012, 130.0, 206.7)","(40, -1, 151.0, 234.5)","(40, -1, 109.9, 290.7)","(19, -1, 110.4, 366.0)","(25, -1, 105.8, 359.4)","(58, -1, 76.1, 257.3)","(40, -1, 137.4, 204.8)"
882,"(19, 2012, 115.1, 259.0)","(104, 2017, 100.2, 327.2)","(102, 2014, 86.9, 373.9)","(102, 2014, 135.2, 225.5)","(104, 2012, 138.8, 260.2)","(104, 2015, 84.9, 399.4)","(19, -1, 102.7, 261.0)","(104, -1, 107.2, 348.6)","(102, -1, 87.4, 415.5)","(102, -1, 128.2, 217.1)","(104, -1, 133.6, 280.4)","(104, -1, 77.1, 409.5)"
883,"(58, 2015, 83.0, 379.7)","(102, 2012, 89.4, 229.4)","(104, 2013, 67.6, 241.8)","(8, 2014, 94.6, 270.0)","(19, 2013, 105.0, 230.9)","(25, 2015, 54.7, 386.7)","(58, -1, 82.5, 448.0)","(102, -1, 111.4, 231.5)","(104, -1, 52.7, 252.7)","(8, -1, 108.8, 255.0)","(19, -1, 92.1, 255.3)","(25, -1, 53.4, 384.7)"
884,"(25, 2013, 82.1, 298.1)","(25, 2016, 123.4, 200.5)","(25, 2016, 102.3, 206.9)","(4, 2015, 44.5, 234.0)","(8, 2017, 105.3, 380.5)","(40, 2015, 123.0, 224.7)","(25, -1, 71.9, 291.6)","(25, -1, 119.4, 201.4)","(25, -1, 87.8, 218.7)","(4, -1, 43.7, 221.0)","(8, -1, 124.2, 361.8)","(40, -1, 125.8, 243.6)"
885,"(58, 2013, 126.1, 271.5)","(58, 2012, 122.8, 243.4)","(8, 2015, 85.7, 365.2)","(40, 2014, 85.6, 381.7)","(0, 2017, 90.3, 365.0)","(4, 2012, 122.1, 292.2)","(58, -1, 128.8, 299.7)","(58, -1, 127.1, 248.0)","(8, -1, 87.7, 364.5)","(40, -1, 85.1, 403.4)","(0, -1, 89.3, 400.0)","(4, -1, 127.8, 325.7)"
886,"(4, 2016, 74.2, 243.8)","(4, 2012, 83.3, 238.3)","(104, 2013, 111.1, 327.7)","(19, 2015, 90.5, 299.5)","(19, 2014, 61.7, 311.7)","(8, 2013, 108.3, 372.3)","(4, -1, 82.5, 255.1)","(4, -1, 90.9, 247.3)","(104, -1, 113.4, 320.8)","(19, -1, 105.3, 302.2)","(19, -1, 53.6, 295.7)","(8, -1, 106.5, 394.5)"
887,"(19, 2015, 126.6, 390.3)","(19, 2017, 81.5, 381.0)","(0, 2017, 95.5, 247.9)","(104, 2012, 92.2, 283.9)","(25, 2016, 100.8, 313.5)","(104, 2015, 121.8, 297.8)","(19, -1, 120.1, 389.2)","(19, -1, 86.6, 361.0)","(0, -1, 105.9, 213.5)","(104, -1, 78.3, 289.3)","(25, -1, 113.6, 236.3)","(104, -1, 117.3, 306.6)"
888,"(0, 2015, 108.3, 251.2)","(19, 2016, 86.3, 249.9)","(0, 2013, 84.1, 255.9)","(104, 2015, 112.1, 313.4)","(19, 2012, 65.4, 311.4)","(0, 2014, 74.6, 345.0)","(0, -1, 107.6, 241.8)","(19, -1, 83.2, 262.1)","(0, -1, 77.1, 234.3)","(104, -1, 115.0, 340.4)","(19, -1, 63.1, 315.8)","(0, -1, 80.9, 313.4)"
889,"(104, 2015, 108.0, 248.0)","(4, 2014, 110.7, 386.2)","(58, 2016, 80.4, 242.4)","(0, 2015, 95.2, 337.0)","(58, 2015, 135.5, 321.4)","(40, 2014, 65.1, 219.7)","(104, -1, 101.3, 235.8)","(4, -1, 98.5, 372.2)","(58, -1, 84.4, 234.0)","(0, -1, 87.0, 372.0)","(58, -1, 141.6, 305.7)","(40, -1, 66.5, 222.0)"
890,"(8, 2016, 100.2, 238.6)","(19, 2012, 73.1, 363.5)","(40, 2015, 130.5, 386.3)","(19, 2012, 70.5, 286.2)","(102, 2013, 90.8, 386.0)","(58, 2015, 96.9, 200.3)","(8, -1, 85.6, 245.4)","(19, -1, 71.9, 366.6)","(40, -1, 125.7, 316.5)","(19, -1, 78.9, 305.3)","(102, -1, 102.4, 433.9)","(58, -1, 93.2, 195.5)"
891,"(0, 2014, 83.2, 309.9)","(25, 2016, 91.8, 367.6)","(104, 2012, 99.0, 319.8)","(25, 2013, 114.8, 370.9)","(8, 2015, 57.6, 237.1)","(8, 2013, 93.8, 252.4)","(0, -1, 75.7, 277.4)","(25, -1, 90.6, 380.3)","(104, -1, 78.1, 314.8)","(25, -1, 110.3, 382.3)","(8, -1, 65.7, 220.5)","(8, -1, 93.9, 264.0)"
892,"(104, 2012, 90.0, 218.6)","(19, 2014, 90.1, 219.3)","(25, 2014, 139.8, 341.0)","(19, 2015, 85.4, 217.6)","(25, 2012, 123.5, 347.7)","(8, 2015, 112.4, 349.8)","(104, -1, 108.4, 218.2)","(19, -1, 74.1, 232.6)","(25, -1, 139.7, 337.6)","(19, -1, 62.5, 207.9)","(25, -1, 120.0, 350.0)","(8, -1, 119.0, 311.0)"
893,"(104, 2016, 88.2, 212.2)","(4, 2013, 112.3, 223.3)","(0, 2015, 102.1, 261.4)","(19, 2013, 109.8, 212.9)","(104, 2016, 85.4, 363.2)","(19, 2015, 126.7, 292.5)","(104, -1, 108.9, 202.1)","(4, -1, 101.8, 220.1)","(0, -1, 91.3, 212.9)","(19, -1, 120.8, 204.4)","(104, -1, 92.3, 377.5)","(19, -1, 137.7, 277.2)"
894,"(25, 2017, 87.9, 202.0)","(104, 2012, 94.3, 352.7)","(25, 2014, 130.4, 283.1)","(4, 2012, 96.0, 287.9)","(40, 2016, 97.5, 371.7)","(25, 2015, 113.4, 290.6)","(25, -1, 84.0, 214.9)","(104, -1, 90.1, 339.7)","(25, -1, 119.4, 264.4)","(4, -1, 98.5, 258.8)","(40, -1, 100.0, 370.8)","(25, -1, 114.3, 318.9)"
895,"(40, 2013, 141.7, 360.1)","(104, 2016, 86.2, 280.3)","(102, 2015, 103.5, 215.9)","(0, 2014, 109.7, 269.8)","(58, 2014, 91.9, 213.1)","(4, 2017, 86.3, 241.5)","(40, -1, 144.5, 350.7)","(104, -1, 66.7, 268.1)","(102, -1, 100.1, 216.0)","(0, -1, 88.5, 255.1)","(58, -1, 101.3, 226.1)","(4, -1, 72.9, 249.7)"
896,"(4, 2016, 125.9, 352.0)","(25, 2013, 90.4, 248.1)","(40, 2013, 135.5, 220.0)","(4, 2012, 67.2, 267.8)","(40, 2014, 107.3, 314.7)","(40, 2016, 115.3, 251.0)","(4, -1, 119.9, 359.4)","(25, -1, 93.9, 282.1)","(40, -1, 148.8, 211.4)","(4, -1, 62.8, 249.9)","(40, -1, 109.5, 321.0)","(40, -1, 125.2, 232.8)"
897,"(19, 2015, 111.4, 354.2)","(102, 2013, 78.1, 398.4)","(4, 2014, 66.7, 329.7)","(102, 2017, 79.6, 336.6)","(0, 2014, 126.3, 232.1)","(58, 2016, 131.9, 365.8)","(19, -1, 121.7, 337.0)","(102, -1, 80.6, 407.1)","(4, -1, 69.1, 309.5)","(102, -1, 80.0, 301.9)","(0, -1, 159.9, 190.6)","(58, -1, 127.2, 335.0)"
898,"(58, 2012, 85.3, 211.1)","(40, 2017, 150.4, 382.8)","(19, 2017, 94.8, 265.4)","(0, 2017, 120.2, 251.4)","(58, 2013, 99.8, 221.1)","(25, 2013, 94.6, 308.7)","(58, -1, 78.4, 198.1)","(40, -1, 169.4, 379.4)","(19, -1, 101.4, 258.6)","(0, -1, 139.5, 259.8)","(58, -1, 83.0, 225.2)","(25, -1, 91.3, 333.2)"
899,"(102, 2017, 123.7, 210.7)","(40, 2014, 131.9, 297.9)","(25, 2012, 128.6, 362.8)","(104, 2012, 100.3, 351.6)","(19, 2017, 108.1, 219.9)","(102, 2012, 109.1, 296.6)","(102, -1, 126.2, 207.1)","(40, -1, 130.4, 268.0)","(25, -1, 129.7, 303.5)","(104, -1, 65.3, 289.5)","(19, -1, 102.7, 236.2)","(102, -1, 108.9, 315.6)"
900,"(102, 2012, 151.9, 374.9)","(104, 2017, 79.6, 339.6)","(19, 2017, 98.1, 211.8)","(4, 2015, 77.5, 238.6)","(104, 2012, 98.6, 384.9)","(40, 2016, 88.7, 332.8)","(102, -1, 157.6, 345.3)","(104, -1, 72.3, 318.9)","(19, -1, 83.8, 206.6)","(4, -1, 83.6, 217.9)","(104, -1, 105.5, 407.2)","(40, -1, 78.4, 356.4)"
901,"(25, 2012, 117.8, 356.0)","(25, 2015, 74.6, 309.9)","(4, 2013, 146.8, 221.8)","(4, 2017, 116.1, 297.1)","(104, 2014, 63.2, 305.8)","(104, 2012, 81.0, 289.1)","(25, -1, 135.2, 325.7)","(25, -1, 73.2, 317.3)","(4, -1, 146.4, 225.5)","(4, -1, 100.7, 253.1)","(104, -1, 63.4, 284.2)","(104, -1, 61.5, 283.7)"
902,"(19, 2012, 84.9, 395.8)","(8, 2013, 60.5, 257.6)","(58, 2014, 134.2, 250.8)","(19, 2015, 82.3, 289.5)","(0, 2015, 86.6, 304.0)","(0, 2012, 72.2, 264.0)","(19, -1, 79.4, 406.5)","(8, -1, 63.6, 274.9)","(58, -1, 138.9, 229.0)","(19, -1, 85.5, 277.0)","(0, -1, 97.2, 305.6)","(0, -1, 70.5, 259.6)"
903,"(40, 2013, 101.4, 397.9)","(104, 2015, 94.6, 223.1)","(102, 2014, 102.3, 396.3)","(40, 2012, 114.3, 383.3)","(104, 2017, 86.8, 386.6)","(0, 2015, 92.9, 276.6)","(40, -1, 107.6, 365.7)","(104, -1, 91.5, 221.2)","(102, -1, 121.0, 395.3)","(40, -1, 117.0, 368.9)","(104, -1, 84.0, 336.2)","(0, -1, 90.8, 275.2)"
904,"(4, 2016, 76.4, 321.4)","(8, 2017, 39.2, 316.3)","(0, 2012, 97.0, 320.7)","(104, 2012, 63.3, 212.0)","(8, 2012, 124.8, 362.7)","(104, 2013, 104.9, 273.4)","(4, -1, 74.8, 300.8)","(8, -1, 35.0, 303.5)","(0, -1, 75.8, 348.4)","(104, -1, 60.3, 209.3)","(8, -1, 150.0, 366.4)","(104, -1, 114.8, 261.8)"
905,"(0, 2012, 109.2, 383.2)","(58, 2015, 92.0, 237.0)","(58, 2016, 65.8, 315.6)","(58, 2017, 125.6, 319.7)","(19, 2016, 108.1, 205.5)","(25, 2013, 72.1, 238.2)","(0, -1, 98.3, 371.7)","(58, -1, 104.6, 225.4)","(58, -1, 77.1, 338.0)","(58, -1, 122.2, 366.2)","(19, -1, 99.0, 196.7)","(25, -1, 60.3, 265.3)"
