Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
972,"(25, 2017)","(40, 2015)","(4, 2017)","(25, 2016)","(104, 2015)","(40, 2016)","(0, 2013)","(25, 2014)","(104, 2014)","(4, 2012)","(8, 2014)","(104, 2012)"
973,"(19, 2017)","(8, 2014)","(40, 2012)","(58, 2015)","(40, 2014)","(0, 2012)","(19, 2015)","(19, 2016)","(102, 2014)","(40, 2017)","(25, 2016)","(104, 2015)"
974,"(25, 2014)","(8, 2015)","(102, 2016)","(19, 2015)","(102, 2014)","(40, 2012)","(8, 2016)","(4, 2014)","(19, 2015)","(0, 2012)","(25, 2016)","(102, 2014)"
975,"(58, 2014)","(104, 2016)","(19, 2016)","(25, 2012)","(19, 2013)","(58, 2015)","(19, 2016)","(4, 2016)","(102, 2017)","(25, 2012)","(0, 2012)","(40, 2017)"
976,"(8, 2015)","(25, 2017)","(25, 2016)","(104, 2012)","(40, 2013)","(40, 2012)","(4, 2012)","(58, 2017)","(58, 2014)","(40, 2014)","(102, 2015)","(4, 2013)"
977,"(102, 2012)","(8, 2016)","(19, 2012)","(4, 2014)","(102, 2014)","(0, 2017)","(104, 2015)","(0, 2012)","(0, 2014)","(102, 2015)","(8, 2013)","(102, 2012)"
978,"(0, 2016)","(58, 2014)","(40, 2014)","(8, 2016)","(0, 2017)","(25, 2015)","(4, 2014)","(58, 2015)","(58, 2012)","(102, 2017)","(58, 2017)","(58, 2013)"
979,"(25, 2014)","(25, 2017)","(102, 2012)","(25, 2014)","(104, 2016)","(4, 2014)","(102, 2012)","(58, 2012)","(40, 2016)","(0, 2013)","(40, 2013)","(40, 2015)"
980,"(4, 2013)","(58, 2015)","(25, 2017)","(25, 2014)","(4, 2012)","(19, 2014)","(58, 2013)","(0, 2012)","(0, 2013)","(4, 2014)","(4, 2013)","(40, 2016)"
981,"(102, 2014)","(102, 2016)","(25, 2012)","(40, 2012)","(40, 2016)","(0, 2016)","(0, 2013)","(4, 2016)","(25, 2013)","(102, 2015)","(19, 2013)","(0, 2016)"
982,"(25, 2012)","(40, 2014)","(4, 2017)","(0, 2017)","(102, 2016)","(0, 2015)","(8, 2017)","(19, 2012)","(19, 2016)","(58, 2014)","(4, 2015)","(58, 2013)"
983,"(19, 2012)","(25, 2012)","(25, 2012)","(4, 2014)","(40, 2013)","(25, 2013)","(25, 2017)","(19, 2013)","(58, 2016)","(4, 2016)","(58, 2016)","(104, 2017)"
984,"(104, 2017)","(40, 2012)","(0, 2016)","(8, 2016)","(58, 2013)","(25, 2015)","(19, 2016)","(25, 2014)","(58, 2015)","(104, 2012)","(8, 2017)","(40, 2014)"
985,"(25, 2012)","(40, 2014)","(58, 2013)","(58, 2014)","(19, 2014)","(19, 2016)","(102, 2012)","(25, 2015)","(0, 2012)","(58, 2013)","(58, 2015)","(25, 2013)"
986,"(25, 2017)","(0, 2017)","(102, 2016)","(104, 2012)","(0, 2012)","(25, 2016)","(25, 2016)","(0, 2015)","(40, 2017)","(40, 2013)","(40, 2014)","(58, 2013)"
987,"(8, 2016)","(104, 2017)","(4, 2012)","(8, 2017)","(40, 2015)","(4, 2016)","(25, 2015)","(58, 2015)","(58, 2017)","(25, 2017)","(0, 2012)","(40, 2013)"
988,"(19, 2013)","(8, 2016)","(25, 2014)","(40, 2014)","(25, 2012)","(4, 2013)","(19, 2015)","(58, 2015)","(19, 2015)","(4, 2012)","(104, 2017)","(104, 2013)"
989,"(19, 2014)","(8, 2013)","(4, 2016)","(4, 2014)","(4, 2015)","(25, 2012)","(40, 2016)","(58, 2015)","(19, 2017)","(104, 2013)","(19, 2013)","(102, 2013)"
990,"(19, 2012)","(104, 2015)","(4, 2014)","(8, 2015)","(4, 2014)","(104, 2017)","(4, 2014)","(25, 2017)","(8, 2015)","(104, 2012)","(4, 2017)","(58, 2015)"
991,"(104, 2014)","(104, 2017)","(102, 2016)","(4, 2012)","(0, 2012)","(58, 2017)","(40, 2014)","(8, 2013)","(104, 2016)","(0, 2015)","(104, 2012)","(0, 2012)"
992,"(102, 2014)","(8, 2017)","(104, 2014)","(102, 2015)","(19, 2017)","(25, 2016)","(19, 2016)","(19, 2013)","(40, 2016)","(8, 2015)","(102, 2013)","(19, 2014)"
993,"(4, 2015)","(4, 2015)","(102, 2015)","(4, 2014)","(4, 2013)","(25, 2017)","(19, 2013)","(8, 2017)","(104, 2016)","(40, 2014)","(58, 2012)","(25, 2014)"
994,"(19, 2014)","(8, 2013)","(4, 2015)","(25, 2016)","(25, 2015)","(8, 2014)","(25, 2013)","(0, 2013)","(40, 2012)","(8, 2012)","(0, 2017)","(8, 2017)"
995,"(102, 2016)","(58, 2017)","(25, 2016)","(58, 2017)","(4, 2015)","(8, 2014)","(8, 2017)","(4, 2012)","(102, 2017)","(4, 2014)","(104, 2017)","(25, 2013)"
996,"(8, 2017)","(58, 2017)","(8, 2017)","(104, 2014)","(25, 2013)","(0, 2015)","(58, 2012)","(58, 2016)","(25, 2015)","(25, 2017)","(0, 2012)","(102, 2013)"
997,"(19, 2013)","(25, 2012)","(40, 2013)","(19, 2015)","(25, 2016)","(0, 2016)","(4, 2017)","(40, 2017)","(102, 2014)","(8, 2015)","(25, 2013)","(19, 2017)"
998,"(4, 2017)","(104, 2016)","(25, 2013)","(19, 2016)","(102, 2013)","(40, 2015)","(40, 2013)","(25, 2017)","(58, 2017)","(58, 2016)","(25, 2012)","(19, 2017)"
999,"(0, 2012)","(8, 2017)","(25, 2012)","(40, 2013)","(40, 2014)","(4, 2017)","(19, 2015)","(58, 2016)","(19, 2014)","(19, 2015)","(19, 2017)","(58, 2014)"
